Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 19140 | GridSize: 208
Generation 2 | Revalues: 21840 | GridSize: 230
Generation 3 | Revalues: 23970 | GridSize: 224
Generation 4 | Revalues: 26540 | GridSize: 225
Generation 5 | Revalues: 28740 | GridSize: 218
Generation 6 | Revalues: 30550 | GridSize: 227
Generation 7 | Revalues: 32030 | GridSize: 211
Generation 8 | Revalues: 35990 | GridSize: 218
Generation 9 | Revalues: 37850 | GridSize: 223
Generation 10 | Revalues: 39210 | GridSize: 232
Generation 11 | Revalues: 40680 | GridSize: 241
Generation 12 | Revalues: 41790 | GridSize: 248
Generation 13 | Revalues: 43390 | GridSize: 239
Generation 14 | Revalues: 44440 | GridSize: 247
Generation 15 | Revalues: 45500 | GridSize: 253
Generation 16 | Revalues: 47430 | GridSize: 242
Generation 17 | Revalues: 49140 | GridSize: 242
Generation 18 | Revalues: 50750 | GridSize: 251
Generation 19 | Revalues: 52130 | GridSize: 245
Generation 20 | Revalues: 53840 | GridSize: 242
Generation 21 | Revalues: 55100 | GridSize: 249
Generation 22 | Revalues: 56280 | GridSize: 262
Generation 23 | Revalues: 57810 | GridSize: 264
Generation 24 | Revalues: 58990 | GridSize: 272
Generation 25 | Revalues: 60060 | GridSize: 271
Generation 26 | Revalues: 61530 | GridSize: 272
Generation 27 | Revalues: 62710 | GridSize: 267
Generation 28 | Revalues: 64130 | GridSize: 280
Generation 29 | Revalues: 65530 | GridSize: 273
Generation 30 | Revalues: 66690 | GridSize: 252
Generation 31 | Revalues: 67810 | GridSize: 256
Generation 32 | Revalues: 69260 | GridSize: 252
Generation 33 | Revalues: 70570 | GridSize: 263
Generation 34 | Revalues: 72290 | GridSize: 271
Generation 35 | Revalues: 73650 | GridSize: 270
Generation 36 | Revalues: 75430 | GridSize: 268
Generation 37 | Revalues: 76730 | GridSize: 263
Generation 38 | Revalues: 78060 | GridSize: 268
Generation 39 | Revalues: 79340 | GridSize: 272
Generation 40 | Revalues: 80660 | GridSize: 271
Generation 41 | Revalues: 81880 | GridSize: 284
Generation 42 | Revalues: 83020 | GridSize: 273
Generation 43 | Revalues: 84240 | GridSize: 281
Generation 44 | Revalues: 85410 | GridSize: 288
Generation 45 | Revalues: 86430 | GridSize: 290
Generation 46 | Revalues: 87660 | GridSize: 290
Generation 47 | Revalues: 88690 | GridSize: 295
Generation 48 | Revalues: 89770 | GridSize: 298
Generation 49 | Revalues: 90910 | GridSize: 296
Generation 50 | Revalues: 92010 | GridSize: 300
Generation 51 | Revalues: 93130 | GridSize: 300
Generation 52 | Revalues: 94170 | GridSize: 291
Generation 53 | Revalues: 95300 | GridSize: 292
Generation 54 | Revalues: 96370 | GridSize: 292
Generation 55 | Revalues: 97440 | GridSize: 297
Generation 56 | Revalues: 98490 | GridSize: 298
Generation 57 | Revalues: 99530 | GridSize: 299
Generation 58 | Revalues: 100760 | GridSize: 297
Generation 59 | Revalues: 101850 | GridSize: 295
Generation 60 | Revalues: 102850 | GridSize: 299
Generation 61 | Revalues: 103890 | GridSize: 300
Generation 62 | Revalues: 104950 | GridSize: 300
Generation 63 | Revalues: 105950 | GridSize: 300
Generation 64 | Revalues: 107120 | GridSize: 299
Generation 65 | Revalues: 108420 | GridSize: 296
Generation 66 | Revalues: 109450 | GridSize: 296
Generation 67 | Revalues: 110730 | GridSize: 295
Generation 68 | Revalues: 111890 | GridSize: 299
Generation 69 | Revalues: 112950 | GridSize: 294
Generation 70 | Revalues: 114110 | GridSize: 293
Generation 71 | Revalues: 115600 | GridSize: 293
Generation 72 | Revalues: 116600 | GridSize: 298
Generation 73 | Revalues: 117790 | GridSize: 299
Generation 74 | Revalues: 119250 | GridSize: 300
Generation 75 | Revalues: 120270 | GridSize: 297
Generation 76 | Revalues: 121450 | GridSize: 300
Generation 77 | Revalues: 122450 | GridSize: 295
Generation 78 | Revalues: 123480 | GridSize: 295
Generation 79 | Revalues: 124680 | GridSize: 300
Generation 80 | Revalues: 125730 | GridSize: 300
Generation 81 | Revalues: 126860 | GridSize: 300
Generation 82 | Revalues: 127870 | GridSize: 300
Generation 83 | Revalues: 129110 | GridSize: 300
Generation 84 | Revalues: 130140 | GridSize: 300
Generation 85 | Revalues: 131140 | GridSize: 300
Generation 86 | Revalues: 132200 | GridSize: 297
Generation 87 | Revalues: 133220 | GridSize: 300
Generation 88 | Revalues: 134370 | GridSize: 300
Generation 89 | Revalues: 135370 | GridSize: 296
Generation 90 | Revalues: 136470 | GridSize: 295
Generation 91 | Revalues: 137510 | GridSize: 300
Generation 92 | Revalues: 138640 | GridSize: 300
Generation 93 | Revalues: 139680 | GridSize: 299
Generation 94 | Revalues: 140750 | GridSize: 297
Generation 95 | Revalues: 141880 | GridSize: 299
Generation 96 | Revalues: 142900 | GridSize: 298
Generation 97 | Revalues: 144030 | GridSize: 300
Generation 98 | Revalues: 145070 | GridSize: 300
Generation 99 | Revalues: 146120 | GridSize: 299
Generation 100 | Revalues: 147170 | GridSize: 300
Generation 101 | Revalues: 148490 | GridSize: 298
Generation 102 | Revalues: 149580 | GridSize: 300
Generation 103 | Revalues: 150640 | GridSize: 296
Generation 104 | Revalues: 151730 | GridSize: 300
Generation 105 | Revalues: 152820 | GridSize: 296
Generation 106 | Revalues: 153950 | GridSize: 300
Generation 107 | Revalues: 154990 | GridSize: 299
Generation 108 | Revalues: 155990 | GridSize: 299
Generation 109 | Revalues: 156990 | GridSize: 300
Generation 110 | Revalues: 158020 | GridSize: 300
Generation 111 | Revalues: 159050 | GridSize: 300
Generation 112 | Revalues: 160480 | GridSize: 298
Generation 113 | Revalues: 161490 | GridSize: 297
Generation 114 | Revalues: 162500 | GridSize: 300
Generation 115 | Revalues: 163530 | GridSize: 298
Generation 116 | Revalues: 164550 | GridSize: 297
Generation 117 | Revalues: 165610 | GridSize: 297
Generation 118 | Revalues: 166690 | GridSize: 300
Generation 119 | Revalues: 167840 | GridSize: 297
Generation 120 | Revalues: 168850 | GridSize: 294
Generation 121 | Revalues: 169890 | GridSize: 298
Generation 122 | Revalues: 170980 | GridSize: 295
Generation 123 | Revalues: 172080 | GridSize: 300
Generation 124 | Revalues: 173160 | GridSize: 300
Generation 125 | Revalues: 174240 | GridSize: 300
Generation 126 | Revalues: 175250 | GridSize: 300
Generation 127 | Revalues: 176280 | GridSize: 297
Generation 128 | Revalues: 177460 | GridSize: 300
Generation 129 | Revalues: 178520 | GridSize: 300
Generation 130 | Revalues: 179920 | GridSize: 300
Generation 131 | Revalues: 180950 | GridSize: 300
Generation 132 | Revalues: 181960 | GridSize: 300
Generation 133 | Revalues: 182980 | GridSize: 300
Generation 134 | Revalues: 184070 | GridSize: 300
Generation 135 | Revalues: 185310 | GridSize: 300
Generation 136 | Revalues: 186390 | GridSize: 300
Generation 137 | Revalues: 187460 | GridSize: 300
Generation 138 | Revalues: 188510 | GridSize: 298
Generation 139 | Revalues: 189570 | GridSize: 296
Generation 140 | Revalues: 190600 | GridSize: 300
Generation 141 | Revalues: 191650 | GridSize: 300
Generation 142 | Revalues: 192650 | GridSize: 300
Generation 143 | Revalues: 193740 | GridSize: 299
Generation 144 | Revalues: 194790 | GridSize: 299
Generation 145 | Revalues: 195900 | GridSize: 300
Generation 146 | Revalues: 196930 | GridSize: 299
Generation 147 | Revalues: 197940 | GridSize: 299
Generation 148 | Revalues: 198950 | GridSize: 300
Generation 149 | Revalues: 199950 | GridSize: 300
Generation 150 | Revalues: 201020 | GridSize: 297
Generation 151 | Revalues: 202030 | GridSize: 298
Generation 152 | Revalues: 203240 | GridSize: 298
Generation 153 | Revalues: 204260 | GridSize: 300
Generation 154 | Revalues: 205350 | GridSize: 300
Generation 155 | Revalues: 206380 | GridSize: 298
Generation 156 | Revalues: 207410 | GridSize: 300
Generation 157 | Revalues: 208530 | GridSize: 300
Generation 158 | Revalues: 209570 | GridSize: 298
Generation 159 | Revalues: 210620 | GridSize: 300
Generation 160 | Revalues: 211920 | GridSize: 296
Generation 161 | Revalues: 212960 | GridSize: 298
Generation 162 | Revalues: 214030 | GridSize: 300
Generation 163 | Revalues: 215060 | GridSize: 298
Generation 164 | Revalues: 216060 | GridSize: 300
Generation 165 | Revalues: 217350 | GridSize: 300
Generation 166 | Revalues: 218380 | GridSize: 298
Generation 167 | Revalues: 219410 | GridSize: 295
Generation 168 | Revalues: 220480 | GridSize: 300
Generation 169 | Revalues: 221510 | GridSize: 297
Generation 170 | Revalues: 222540 | GridSize: 300
Generation 171 | Revalues: 223630 | GridSize: 300
Generation 172 | Revalues: 224700 | GridSize: 299
Generation 173 | Revalues: 225780 | GridSize: 297
