Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 10980 | GridSize: 132
Generation 2 | Revalues: 13200 | GridSize: 149
Generation 3 | Revalues: 15100 | GridSize: 153
Generation 4 | Revalues: 16720 | GridSize: 164
Generation 5 | Revalues: 18390 | GridSize: 173
Generation 6 | Revalues: 19680 | GridSize: 180
Generation 7 | Revalues: 21850 | GridSize: 166
Generation 8 | Revalues: 23670 | GridSize: 173
Generation 9 | Revalues: 24960 | GridSize: 171
Generation 10 | Revalues: 26230 | GridSize: 184
Generation 11 | Revalues: 27610 | GridSize: 194
Generation 12 | Revalues: 28770 | GridSize: 208
Generation 13 | Revalues: 30160 | GridSize: 222
Generation 14 | Revalues: 31850 | GridSize: 223
Generation 15 | Revalues: 32970 | GridSize: 202
Generation 16 | Revalues: 34250 | GridSize: 203
Generation 17 | Revalues: 35530 | GridSize: 212
Generation 18 | Revalues: 37060 | GridSize: 215
Generation 19 | Revalues: 38540 | GridSize: 214
Generation 20 | Revalues: 39620 | GridSize: 218
Generation 21 | Revalues: 40900 | GridSize: 220
Generation 22 | Revalues: 42070 | GridSize: 230
Generation 23 | Revalues: 43120 | GridSize: 233
Generation 24 | Revalues: 44260 | GridSize: 249
Generation 25 | Revalues: 45470 | GridSize: 261
Generation 26 | Revalues: 46650 | GridSize: 254
Generation 27 | Revalues: 47980 | GridSize: 260
Generation 28 | Revalues: 49030 | GridSize: 273
Generation 29 | Revalues: 50100 | GridSize: 265
Generation 30 | Revalues: 51100 | GridSize: 277
Generation 31 | Revalues: 52170 | GridSize: 271
Generation 32 | Revalues: 53190 | GridSize: 275
Generation 33 | Revalues: 54260 | GridSize: 276
Generation 34 | Revalues: 55350 | GridSize: 284
Generation 35 | Revalues: 56480 | GridSize: 284
Generation 36 | Revalues: 57530 | GridSize: 285
Generation 37 | Revalues: 58720 | GridSize: 300
Generation 38 | Revalues: 59750 | GridSize: 300
Generation 39 | Revalues: 60980 | GridSize: 298
Generation 40 | Revalues: 62030 | GridSize: 300
Generation 41 | Revalues: 63140 | GridSize: 299
Generation 42 | Revalues: 64200 | GridSize: 297
Generation 43 | Revalues: 65300 | GridSize: 293
