Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 41980 | GridSize: 300
Generation 2 | Revalues: 48300 | GridSize: 299
Generation 3 | Revalues: 60920 | GridSize: 300
Generation 4 | Revalues: 62080 | GridSize: 298
Generation 5 | Revalues: 65340 | GridSize: 296
Generation 6 | Revalues: 69890 | GridSize: 300
Generation 7 | Revalues: 73460 | GridSize: 293
Generation 8 | Revalues: 76520 | GridSize: 298
Generation 9 | Revalues: 79600 | GridSize: 300
Generation 10 | Revalues: 81050 | GridSize: 300
Generation 11 | Revalues: 82200 | GridSize: 298
Generation 12 | Revalues: 85140 | GridSize: 300
Generation 13 | Revalues: 88330 | GridSize: 295
Generation 14 | Revalues: 93910 | GridSize: 288
Generation 15 | Revalues: 97580 | GridSize: 297
Generation 16 | Revalues: 98630 | GridSize: 300
Generation 17 | Revalues: 99830 | GridSize: 300
Generation 18 | Revalues: 101710 | GridSize: 292
Generation 19 | Revalues: 102930 | GridSize: 293
Generation 20 | Revalues: 103980 | GridSize: 300
Generation 21 | Revalues: 105100 | GridSize: 297
Generation 22 | Revalues: 106310 | GridSize: 298
Generation 23 | Revalues: 107720 | GridSize: 295
Generation 24 | Revalues: 110790 | GridSize: 300
Generation 25 | Revalues: 112180 | GridSize: 298
Generation 26 | Revalues: 113780 | GridSize: 300
Generation 27 | Revalues: 115480 | GridSize: 300
Generation 28 | Revalues: 117040 | GridSize: 300
Generation 29 | Revalues: 119070 | GridSize: 299
Generation 30 | Revalues: 120190 | GridSize: 300
Generation 31 | Revalues: 121560 | GridSize: 297
Generation 32 | Revalues: 122930 | GridSize: 300
Generation 33 | Revalues: 125120 | GridSize: 300
Generation 34 | Revalues: 126170 | GridSize: 300
Generation 35 | Revalues: 127320 | GridSize: 298
Generation 36 | Revalues: 128810 | GridSize: 300
Generation 37 | Revalues: 130750 | GridSize: 299
Generation 38 | Revalues: 131940 | GridSize: 300
Generation 39 | Revalues: 133000 | GridSize: 298
Generation 40 | Revalues: 135000 | GridSize: 297
Generation 41 | Revalues: 136530 | GridSize: 295
Generation 42 | Revalues: 137590 | GridSize: 300
Generation 43 | Revalues: 138620 | GridSize: 300
Generation 44 | Revalues: 141490 | GridSize: 300
Generation 45 | Revalues: 142570 | GridSize: 300
Generation 46 | Revalues: 143840 | GridSize: 300
Generation 47 | Revalues: 145960 | GridSize: 300
Generation 48 | Revalues: 147480 | GridSize: 296
Generation 49 | Revalues: 148610 | GridSize: 300
Generation 50 | Revalues: 149710 | GridSize: 300
Generation 51 | Revalues: 151360 | GridSize: 299
Generation 52 | Revalues: 153540 | GridSize: 300
Generation 53 | Revalues: 154550 | GridSize: 300
Generation 54 | Revalues: 155620 | GridSize: 300
Generation 55 | Revalues: 156710 | GridSize: 292
Generation 56 | Revalues: 160830 | GridSize: 296
Generation 57 | Revalues: 161920 | GridSize: 300
Generation 58 | Revalues: 163050 | GridSize: 299
Generation 59 | Revalues: 164200 | GridSize: 299
Generation 60 | Revalues: 166300 | GridSize: 298
Generation 61 | Revalues: 167340 | GridSize: 300
Generation 62 | Revalues: 168640 | GridSize: 300
Generation 63 | Revalues: 171390 | GridSize: 299
Generation 64 | Revalues: 172430 | GridSize: 296
Generation 65 | Revalues: 174460 | GridSize: 296
Generation 66 | Revalues: 176210 | GridSize: 300
Generation 67 | Revalues: 177280 | GridSize: 300
Generation 68 | Revalues: 178490 | GridSize: 300
Generation 69 | Revalues: 179640 | GridSize: 300
Generation 70 | Revalues: 181910 | GridSize: 300
Generation 71 | Revalues: 183020 | GridSize: 300
Generation 72 | Revalues: 184080 | GridSize: 299
Generation 73 | Revalues: 185090 | GridSize: 300
Generation 74 | Revalues: 186270 | GridSize: 300
Generation 75 | Revalues: 188080 | GridSize: 297
Generation 76 | Revalues: 189090 | GridSize: 300
Generation 77 | Revalues: 190350 | GridSize: 300
Generation 78 | Revalues: 191370 | GridSize: 299
Generation 79 | Revalues: 192550 | GridSize: 300
Generation 80 | Revalues: 193560 | GridSize: 300
Generation 81 | Revalues: 194960 | GridSize: 300
Generation 82 | Revalues: 196410 | GridSize: 300
Generation 83 | Revalues: 197880 | GridSize: 299
Generation 84 | Revalues: 198980 | GridSize: 300
Generation 85 | Revalues: 199990 | GridSize: 300
Generation 86 | Revalues: 201900 | GridSize: 299
Generation 87 | Revalues: 203460 | GridSize: 292
Generation 88 | Revalues: 204580 | GridSize: 300
Generation 89 | Revalues: 206020 | GridSize: 300
Generation 90 | Revalues: 207990 | GridSize: 300
Generation 91 | Revalues: 209150 | GridSize: 299
Generation 92 | Revalues: 210430 | GridSize: 300
Generation 93 | Revalues: 211520 | GridSize: 300
Generation 94 | Revalues: 213790 | GridSize: 293
Generation 95 | Revalues: 214860 | GridSize: 300
Generation 96 | Revalues: 215920 | GridSize: 300
Generation 97 | Revalues: 217010 | GridSize: 300
Generation 98 | Revalues: 218650 | GridSize: 300
Generation 99 | Revalues: 219740 | GridSize: 299
Generation 100 | Revalues: 220760 | GridSize: 296
Generation 101 | Revalues: 221890 | GridSize: 300
Generation 102 | Revalues: 223840 | GridSize: 300
Generation 103 | Revalues: 225140 | GridSize: 297
Generation 104 | Revalues: 226140 | GridSize: 300
Generation 105 | Revalues: 227700 | GridSize: 300
Generation 106 | Revalues: 228720 | GridSize: 299
Generation 107 | Revalues: 229750 | GridSize: 300
Generation 108 | Revalues: 232360 | GridSize: 300
Generation 109 | Revalues: 233600 | GridSize: 300
Generation 110 | Revalues: 234610 | GridSize: 300
Generation 111 | Revalues: 235620 | GridSize: 300
Generation 112 | Revalues: 236630 | GridSize: 300
Generation 113 | Revalues: 237670 | GridSize: 300
Generation 114 | Revalues: 238700 | GridSize: 300
Generation 115 | Revalues: 239720 | GridSize: 299
Generation 116 | Revalues: 240960 | GridSize: 300
Generation 117 | Revalues: 244020 | GridSize: 300
Generation 118 | Revalues: 245040 | GridSize: 300
Generation 119 | Revalues: 246050 | GridSize: 300
Generation 120 | Revalues: 247220 | GridSize: 300
Generation 121 | Revalues: 248490 | GridSize: 298
Generation 122 | Revalues: 249840 | GridSize: 298
Generation 123 | Revalues: 250880 | GridSize: 292
Generation 124 | Revalues: 251930 | GridSize: 300
Generation 125 | Revalues: 253340 | GridSize: 300
Generation 126 | Revalues: 254530 | GridSize: 300
Generation 127 | Revalues: 255660 | GridSize: 300
Generation 128 | Revalues: 256670 | GridSize: 300
Generation 129 | Revalues: 258340 | GridSize: 300
Generation 130 | Revalues: 259350 | GridSize: 300
Generation 131 | Revalues: 260410 | GridSize: 300
Generation 132 | Revalues: 261480 | GridSize: 299
Generation 133 | Revalues: 262640 | GridSize: 300
Generation 134 | Revalues: 263780 | GridSize: 300
Generation 135 | Revalues: 264930 | GridSize: 300
Generation 136 | Revalues: 265980 | GridSize: 299
Generation 137 | Revalues: 267070 | GridSize: 299
Generation 138 | Revalues: 268070 | GridSize: 300
Generation 139 | Revalues: 269150 | GridSize: 300
Generation 140 | Revalues: 270160 | GridSize: 300
Generation 141 | Revalues: 271670 | GridSize: 300
Generation 142 | Revalues: 272670 | GridSize: 300
Generation 143 | Revalues: 273710 | GridSize: 300
Generation 144 | Revalues: 274740 | GridSize: 300
Generation 145 | Revalues: 275810 | GridSize: 292
Generation 146 | Revalues: 276830 | GridSize: 299
Generation 147 | Revalues: 277860 | GridSize: 300
Generation 148 | Revalues: 279500 | GridSize: 300
Generation 149 | Revalues: 280510 | GridSize: 300
Generation 150 | Revalues: 281940 | GridSize: 299
Generation 151 | Revalues: 282980 | GridSize: 300
Generation 152 | Revalues: 285200 | GridSize: 298
Generation 153 | Revalues: 286200 | GridSize: 300
Generation 154 | Revalues: 287220 | GridSize: 300
Generation 155 | Revalues: 288260 | GridSize: 300
Generation 156 | Revalues: 289430 | GridSize: 300
Generation 157 | Revalues: 290430 | GridSize: 300
Generation 158 | Revalues: 291530 | GridSize: 299
Generation 159 | Revalues: 292570 | GridSize: 300
Generation 160 | Revalues: 293580 | GridSize: 300
Generation 161 | Revalues: 294580 | GridSize: 300
Generation 162 | Revalues: 295590 | GridSize: 300
Generation 163 | Revalues: 297040 | GridSize: 300
Generation 164 | Revalues: 298090 | GridSize: 300
Generation 165 | Revalues: 299170 | GridSize: 300
Generation 166 | Revalues: 300180 | GridSize: 300
Generation 167 | Revalues: 301220 | GridSize: 299
Generation 168 | Revalues: 302300 | GridSize: 299
Generation 169 | Revalues: 303330 | GridSize: 299
Generation 170 | Revalues: 304380 | GridSize: 299
Generation 171 | Revalues: 305890 | GridSize: 297
Generation 172 | Revalues: 306900 | GridSize: 299
Generation 173 | Revalues: 308260 | GridSize: 300
Generation 174 | Revalues: 309330 | GridSize: 300
Generation 175 | Revalues: 310350 | GridSize: 299
Generation 176 | Revalues: 311360 | GridSize: 300
Generation 177 | Revalues: 312370 | GridSize: 300
Generation 178 | Revalues: 313420 | GridSize: 300
Generation 179 | Revalues: 314520 | GridSize: 300
